PIMS_ID,all_text_clean,all_text_clean_spacy,main_strategy_3,,capacity_building,enabling,finance_economy,food_and_agricultural_commodities,governance,law_regulation,management_operation,mitigation_adaptation,monitor_inventory,technology_innovation
1584,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
1878,,,['monitor_inventory'],0,0,0,0,0,0,0,0,0,1,0
2006,,,['food_and_agricultural_commodities'],0,0,0,0,1,0,0,0,0,0,0
2047,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
2204,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
2284,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
2762,,,['monitor_inventory'],0,0,0,0,0,0,0,0,0,1,0
2890,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
3066,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
3127,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
3277,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
3298,,,['technology_innovation'],0,0,0,0,0,0,0,0,0,0,1
3447,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
3515,,,[''],1,0,0,0,0,0,0,0,0,0,0
3668,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
3809,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
3948,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
3967,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4018,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4023,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4092,,,['monitor_inventory'],0,0,0,0,0,0,0,0,0,1,0
4114,,,['technology_innovation'],0,0,0,0,0,0,0,0,0,0,1
4147,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4153,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4172,,,['mitigation_adaptation'],0,0,0,0,0,0,0,0,1,0,0
4183,,,['law_regulation'],0,0,0,0,0,0,1,0,0,0,0
4227,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4250,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4257,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
4283,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4309,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4333,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4383,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4389,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4391,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4392,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4402,,,['monitor_inventory'],0,0,0,0,0,0,0,0,0,1,0
4416,,,['monitor_inventory'],0,0,0,0,0,0,0,0,0,1,0
4462,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4464,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4481,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4482,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4490,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
4493,,,['monitor_inventory'],0,0,0,0,0,0,0,0,0,1,0
4508,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4526,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4529,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4536,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4537,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4546,,,['technology_innovation'],0,0,0,0,0,0,0,0,0,0,1
4552,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
